average_rate_per_night,bedrooms_count,city,date_of_listing,description,latitude,longitude,title,url
$27 ,2,Humble,16-May,Welcome to stay in private room with queen bed and detached private bathroom on the second floor. Another private bedroom with sofa bed is available for additional guests. 10$ for an additional guest.\n10min from IAH airport\nAirport pick-up/drop off is available for $10/trip.,30.02013792,-95.293996,2 Private rooms/bathroom 10min from IAH airport,https://www.airbnb.com/rooms/18520444?location=Cleveland%2C%20TX
$149 ,4,San Antonio,10-Nov,"Stylish, fully remodeled home in upscale NW – Alamo Heights Area. \n\nAmazing location - House conveniently located in quiet street, with beautiful seasoned trees, prestigious neighborhood and very close to the airport, 281, 410 loop and down-town area. \n\nFeaturing an open floor plan, original hardwood floors, 3 bedrooms, 3 FULL bathrooms + an independent garden-TV room which can sleep 2 more\n\nEuropean inspired kitchen and “top of the line” decor. Driveway can park 4 cars.",29.50306768,-98.44768794,Unique Location! Alamo Heights - Designer Inspired,https://www.airbnb.com/rooms/17481455?location=Cibolo%2C%20TX
$59 ,1,Houston,17-Jan,'River house on island close to the city' \nA well maintained river house off the San Jacinto river with extra room for temporary visitors.,29.82935223,-95.08154949,River house near the city,https://www.airbnb.com/rooms/16926307?location=Beach%20City%2C%20TX
$60 ,1,Bryan,16-Feb,Private bedroom in a cute little home situated in the coveted Garden Acres neighborhood in Bryan. The bedroom has its own private access and its own private bathroom.,30.63730428,-96.33784597,Private Room Close to Campus,https://www.airbnb.com/rooms/11839729?location=College%20Station%2C%20TX
$75 ,2,Fort Worth,17-Feb,Welcome to our original 1920's home. We recently purchased this 1922 home just a mile outside of downtown Fort Worth and have been happy restoring the original character that the home was built with. You're just a 5 minute drive from all that downtown has to offer and just across the street from the currently being rejuvenated Gateway Park.,32.74709735,-97.2864344,The Porch,https://www.airbnb.com/rooms/17325114?location=Colleyville%2C%20TX
$250 ,4,Conroe,16-Aug,"My place is close to Lake Conroe, family-friendly activities, nightlife. You’ll love my place because of the outdoors space and the neighborhood. My place is good for couples, solo adventurers, business travelers, families (with kids), and big groups.",30.3704552,-95.38531904,Gorgeous Home with Country Setting,https://www.airbnb.com/rooms/14466133?location=Cleveland%2C%20TX
$129 ,3,Cedar Creek,16-Mar,"Rustic country retreat on 8 acres southeast of Austin. Converted modular home with all the amenities needed while offering a Texas experiences. Less than 15 miles to Austin airport, Circuit of the Americas (COTA) or Formula One. Trailer parking avail",30.10983831,-97.47341691,Cozy and Quaint Country Retreat with Acreage.,https://www.airbnb.com/rooms/12491762?location=Cedar%20Creek%2C%20TX
$25 ,1,Fort Worth,16-Jan,"This is a beautiful bedroom with a queen size bed and closet. We do not have pets and the house is always clean. The bathroom is shared and supplies such as towels and shampoo are available. We are only some miles from Downtown, TCU, TCC, and Stockyards.",32.68961141,-97.29816086,Friendly Private Room in َQuiet Neighborhood,https://www.airbnb.com/rooms/18977363?location=Cleburne%2C%20TX
$345 ,3,Rockport,16-Feb,First class and comfortable condo with the bests views from bottom deck and master bedroom patio.\r\nPier is just a few steps away from your patio.,28.10372572,-97.02583209,608 - Bayfront Condos,https://www.airbnb.com/rooms/17559848?location=Bayside%2C%20TX
$72 ,0,San Antonio,13-Aug,Private entrance to your own \,29.48064615,-98.49569172,Cozy Historic Private 0,https://www.airbnb.com/rooms/1588127?location=Colorado%20River%2C%20TX
$65 ,1,Irving,15-Jul,My cool and comfortable bedroom apartment feels like home. It comfortably fits 2 people and centrally located on a quiet street. Enjoy a gourmet kitchen and easy access to all major highways.,32.86211601,-97.00264291,Cozy 1 bedroom/bathroom with pool,https://www.airbnb.com/rooms/7276294?location=Colleyville%2C%20TX
$116 ,1,Euless,14-Sep,"Gated Estate in the heart of the DFW metro. Sets on 2.5 wooded acres. Home overlooks a beautiful pond. 8 -10 mins to DFW Airport and 25-35 mins to Love Field Airport. Located minutes away from Dallas &amp; Fort Worth, American Airlines Center, Dallas museums, Deep Elum,\nAT&amp;T Stadium, Global Life Park, Six Flags, Fort Worth Stock Yards, Texas Motor Speed Way, Grapevine Mills Mall, Gaylord Texan, Great Wolf Lodge, Check out our other listing we have at our home - FABEULESS HIDEAWAY",32.86534832,-97.08103433,Quiet Cozy Room,https://www.airbnb.com/rooms/4251773?location=Colleyville%2C%20TX
$160 ,2,Round Mountain,12-Aug,"Our place combines the convenience for visiting the Austin area, while also being far from the maddening crowd. It's very peaceful and quiet here, with views to die for. Nature in spades is what we have to offer. Humming birds galore! Come see.",30.35200485,-98.14624215,Cypress Creek Retreat Hamilton Pool,https://www.airbnb.com/rooms/658762?location=Colorado%20River%2C%20TX
$110 ,1,San Antonio,17-Jun,"This home is on the North Side of San Antonio, 3 minutes away from a great golfing course and a JW Marriott Resort and Spa. This is a great stopping place for a family and comes with all amenities from cable, internet to a laundry room and 2 bathrooms. This house is against a green belt so you can enjoy the back yard and nature.This area is safe and my neighbors are also great! Hope you enjoy your stay and more so enjoy San Antonio!",29.6690314,-98.41835177,A Cozy Home with a Beautiful Nature Views,https://www.airbnb.com/rooms/19190311?location=Cibolo%2C%20TX
$175 ,2,Kerrville,16-Aug,"My place is close to downtown Kerrville. Beautiful pine ceilings and cozy fireplace. Cottage appeal in a unique and eclectic Kerrville neighborhood!\nComes with screened porch and huge backyard. Washer dryer available also for guest's convenience. Great place to use as a home base for exploring Texas wine country nearby. I have a covered carport with 2 parking spaces included in the rental price-which is great to have if we get rain or bad weather, your car is protexted.",30.07366703,-99.16136522,"Cozy cottage charm,right in Kerrville!",https://www.airbnb.com/rooms/14694333?location=Center%20Point%2C%20TX
$88 ,2,New Braunfels,17-Apr,This is new house with a hint of Texas Country Chic.,29.64281097,-98.11440066,2 bedrooms 1.5 bath in a great location.,https://www.airbnb.com/rooms/18683743?location=Canyon%20Lake%2C%20TX
$82 ,2,Austin,15-Dec,"Cute two bedroom with lots of windows, sunny back deck, front porch in friendly neighborhood (Hyde Park, Austin) near UT and downtown. Easy walk to coffee shops and restaurants!",30.309522,-97.73171047,Cosy 2 Bedroom in Hyde Park!,https://www.airbnb.com/rooms/18550276?location=Cedar%20Park%2C%20TX
$275 ,1,Port Aransas,17-Feb,"My place is close to the beach, restaurants and dining, family-friendly activities, and great views. My place is good for couples, solo adventurers, and business travelers.",27.81717552,-97.06809015,Ocean Getaway with Magnificent Views,https://www.airbnb.com/rooms/17402254?location=Corpus%20Christi%2C%20TX
"$1,500 ",4,Houston,17-Jan,4 bedroom 2 bathroom home with an open floor plan great for entertaining located in a quiet neighborhood and conveniently located to 59 and beltway 8.,29.95468009,-95.17607029,Super Bowl 2017 4 BDRM Home Retreat,https://www.airbnb.com/rooms/16964526?location=Channelview%2C%20TX
$250 ,2,Frisco,14-Dec,"This unique lakefront area is perfect for creating wonderful memories with your friends and family. It is located right outside the City of Frisco, so it is less than 5 minutes to any shopping and entertainment, yet it is a cozy relaxed atmosphere.",33.15577622,-96.9304385,Lake Lewisville Lakefront Convenient to Frisco,https://www.airbnb.com/rooms/4785810?location=Corinth%2C%20TX
"$2,999 ",4,Katy,17-Jan,4 Bedroom 3 Baths Sleeps 10-12 Theater Room Plus Luxury Car,29.82380216,-95.73063659,New Super Bowl House & Luxury Car,https://www.airbnb.com/rooms/17005150?location=Cinco%20Ranch%2C%20TX
$350 ,3,College Station,15-Sep,"Nice 3 bed, 2 bathroom home in the beautiful Castlegate neighborhood. 50 inch flat screen in the living room and main bedroom. Very clean home with ample room to host 5 people comfortably. I can set the ping pong table up in the garage if requested",30.54670384,-96.28285309,3/2 Home in Castlegate,https://www.airbnb.com/rooms/8419392?location=College%20Station%2C%20TX
$165 ,3,Katy,16-Sep,This apartment is very nice for any family or group for a relaxing time or just a place to stay. Everyone is welcome. You are welcomed to use the pool and workout equipment at your leisure. This home also offers a full size garage for parking of two vehicles.,29.76655271,-95.78319239,Getaway Gateway Apartment Home,https://www.airbnb.com/rooms/17188329?location=Cinco%20Ranch%2C%20TX
$65 ,1,Katy,16-Sep,"My place is close to Katy Mills Mall Shopping, LaCentera Mall, Movie Theaters, Restaurants I Grand Parkway., nightlife. You’ll love my place because of the neighborhood , the comfy bed, the kitchen, the outdoors space, the light. My place is good for couples, business travelers, and families (with kids).",29.74070352,-95.82587851,Luxury Master Bedroom in Safe & Quite Neibourhood,https://www.airbnb.com/rooms/15860117?location=Cinco%20Ranch%2C%20TX
$100 ,0,Denton,15-Nov,"A converted carriage house walking distance to downtown Denton and University of North Texas Campus. DCTA bus stop located across the street and downtown DCTA train station a mile away. Has a kitchenette with microwave, refrigerator with freezer, and a coffee pot. Has a Murphy bed downstairs, and a loft with space for an air mattress. Please use caution on ladder stairs.",33.21614026,-97.13775675,Historic Converted Carriage House,https://www.airbnb.com/rooms/16650025?location=Corinth%2C%20TX
$36 ,1,Richmond,17-Feb,"Private Room (shared bathroom) in a warm family home. It's perfect for business trips, vacation and extended stays. If you are in town as a childbirth tourist, this is also a perfect place for you.",29.69552664,-95.69011086,King Size Bed room,https://www.airbnb.com/rooms/17407499?location=Cinco%20Ranch%2C%20TX
$65 ,1,Katy,17-Jan,"Cozy room, special for couples or business trips. We talk spanish, english and french",29.78091738,-95.79494512,Private Room in Katy,https://www.airbnb.com/rooms/16916119?location=Cinco%20Ranch%2C%20TX
$110 ,1,Austin,15-Sep,"Comfortable Traditional Interior Furniture in Amazing Location minutes Drive to SoCo, Downtown, ACL, &amp; SXSW. Walk to SoLa Eateries Coffee or Bars! Large queen bed &amp; sofa double bed comfortably accommodates up to 4. Free WiFi, Cable TV &amp; 1 Reserved Parking.",30.24429616,-97.77446858,Fabulous Central Austin Condo!,https://www.airbnb.com/rooms/13571814?location=Austin%2C%20TX
$650 ,1,Houston,16-Jul,"Upstairs &amp; down stairs 2 beds included, great for Super Bowl stay. Gated community serious inquiries only.",29.79337987,-95.19640052,Luxurious TH 10 min from Downtown,https://www.airbnb.com/rooms/16842438?location=Channelview%2C%20TX
$194 ,3,Plano,16-Aug,"This beautiful home located in a nice and convenient community in North Plano with best schools around. You can stay here with a peaceful mind, because we have prepared everything brand new for you. You will find everything a hotel provide here, and much more! High speed wifi (ultimate fast speed up to 200 Mbps), 55 inch Smart TV(Netflix and local channels), double garage, outdoor grill, study area, etc. It is good for couples, business travellers, families (with kids), and big groups. BOOK NOW!",33.08495329,-96.78346949,Fully Renovated Vacation Home in North Plano,https://www.airbnb.com/rooms/15028039?location=Celina%2C%20TX
